Frequency,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily
4/27/1946,,,,,,,,,,3.5,2,,,,,,,,3.29,,,,,,,,,,,,,,,,,,,
4/28/1946,,,,,,,,,,3.5,2,,,,,,,,3.29,,,,,,,,,,,,,,,,,,,
4/29/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
4/30/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
5/1/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,,,,,,
5/2/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
5/3/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
5/4/1946,,,,,,,,,,3.5,2,,,,,,,,3.29,,,,,,,,,,,,,,,,,,,
5/5/1946,,,,,,,,,,3.5,2,,,,,,,,3.29,,,,,,,,,,,,,,,,,,,
5/6/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
5/7/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
5/8/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
5/9/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
5/10/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
5/11/1946,,,,,,,,,,3.5,2,,,,,,,,3.29,,,,,,,,,,,,,,,,,,,
5/12/1946,,,,,,,,,,3.5,2,,,,,,,,3.29,,,,,,,,,,,,,,,,,,,
5/13/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
5/14/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
5/15/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
5/16/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
5/17/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
5/18/1946,,,,,,,,,,3.5,2,,,,,,,,3.29,,,,,,,,,,,,,,,,,,,
5/19/1946,,,,,,,,,,3.5,2,,,,,,,,3.29,,,,,,,,,,,,,,,,,,,
5/20/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
5/21/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
5/22/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
5/23/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
5/24/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
5/25/1946,,,,,,,,,,3.5,2,,,,,,,,3.29,,,,,,,,,,,,,,,,,,,
5/26/1946,,,,,,,,,,3.5,2,,,,,,,,3.29,,,,,,,,,,,,,,,,,,,
5/27/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
5/28/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
5/29/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
5/30/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
5/31/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
6/1/1946,,,,,,,,,,3.5,2,,,,,,,,3.29,,,,,,,,,,,,,,,,,,,
6/2/1946,,,,,,,,,,3.5,2,,,,,,,,3.29,,,,,,,,,,,,,,,,,,,
6/3/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
6/4/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
6/5/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
6/6/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
6/7/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
6/8/1946,,,,,,,,,,3.5,2,,,,,,,,3.29,,,,,,,,,,,,,,,,,,,
6/9/1946,,,,,,,,,,3.5,2,,,,,,,,3.29,,,,,,,,,,,,,,,,,,,
6/10/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
6/11/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
6/12/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
6/13/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
6/14/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
6/15/1946,,,,,,,,,,3.5,2,,,,,,,,3.29,,,,,,,,,,,,,,,,,,,
6/16/1946,,,,,,,,,,3.5,2,,,,,,,,3.29,,,,,,,,,,,,,,,,,,,
6/17/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
6/18/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
6/19/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
6/20/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
6/21/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
6/22/1946,,,,,,,,,,3.5,2,,,,,,,,3.29,,,,,,,,,,,,,,,,,,,
6/23/1946,,,,,,,,,,3.5,2,,,,,,,,3.29,,,,,,,,,,,,,,,,,,,
6/24/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
6/25/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
6/26/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
6/27/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
6/28/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
6/29/1946,,,,,,,,,,3.5,2,,,,,,,,3.29,,,,,,,,,,,,,,,,,,,
6/30/1946,,,,,,,,,,3.5,2,,,,,,,,3.29,,,,,,,,,,,,,,,,,,,
7/1/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
7/2/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
7/3/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
7/4/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
7/5/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
7/6/1946,,,,,,,,,,3.5,2,,,,,,,,3.29,,,,,,,,,,,,,,,,,,,
7/7/1946,,,,,,,,,,3.5,2,,,,,,,,3.29,,,,,,,,,,,,,,,,,,,
7/8/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
7/9/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
7/10/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
7/11/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
7/12/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
7/13/1946,,,,,,,,,,3.5,2,,,,,,,,3.29,,,,,,,,,,,,,,,,,,,
7/14/1946,,,,,,,,,,3.5,2,,,,,,,,3.29,,,,,,,,,,,,,,,,,,,
7/15/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
7/16/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
7/17/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
7/18/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
7/19/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
7/20/1946,,,,,,,,,,3.5,2,,,,,,,,3.29,,,,,,,,,,,,,,,,,,,
7/21/1946,,,,,,,,,,3.5,2,,,,,,,,3.29,,,,,,,,,,,,,,,,,,,
7/22/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
7/23/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
7/24/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
7/25/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
7/26/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
7/27/1946,,,,,,,,,,3.5,2,,,,,,,,3.29,,,,,,,,,,,,,,,,,,,
7/28/1946,,,,,,,,,,3.5,2,,,,,,,,3.29,,,,,,,,,,,,,,,,,,,
7/29/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
7/30/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
7/31/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
8/1/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
8/2/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
8/3/1946,,,,,,,,,,3.5,2,,,,,,,,3.29,,,,,,,,,,,,,,,,,,,
8/4/1946,,,,,,,,,,3.5,2,,,,,,,,3.29,,,,,,,,,,,,,,,,,,,
8/5/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
8/6/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
8/7/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
8/8/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
8/9/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
8/10/1946,,,,,,,,,,3.5,2,,,,,,,,3.29,,,,,,,,,,,,,,,,,,,
8/11/1946,,,,,,,,,,3.5,2,,,,,,,,3.29,,,,,,,,,,,,,,,,,,,
8/12/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
8/13/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
8/14/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
8/15/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
8/16/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
8/17/1946,,,,,,,,,,3.5,2,,,,,,,,3.29,,,,,,,,,,,,,,,,,,,
8/18/1946,,,,,,,,,,3.5,2,,,,,,,,3.29,,,,,,,,,,,,,,,,,,,
8/19/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
8/20/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
8/21/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
8/22/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
8/23/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
8/24/1946,,,,,,,,,,3.5,2,,,,,,,,3.29,,,,,,,,,,,,,,,,,,,
8/25/1946,,,,,,,,,,3.5,2,,,,,,,,3.29,,,,,,,,,,,,,,,,,,,
8/26/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
8/27/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
8/28/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
8/29/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
8/30/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
8/31/1946,,,,,,,,,,3.5,2,,,,,,,,3.29,,,,,,,,,,,,,,,,,,,
9/1/1946,,,,,,,,,,3.5,2,,,,,,,,3.29,,,,,,,,,,,,,,,,,,,
9/2/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
9/3/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
9/4/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
9/5/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
9/6/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
9/7/1946,,,,,,,,,,3.5,2,,,,,,,,3.29,,,,,,,,,,,,,,,,,,,
9/8/1946,,,,,,,,,,3.5,2,,,,,,,,3.29,,,,,,,,,,,,,,,,,,,
9/9/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
9/10/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
9/11/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
9/12/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
9/13/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
9/14/1946,,,,,,,,,,3.5,2,,,,,,,,3.29,,,,,,,,,,,,,,,,,,,
9/15/1946,,,,,,,,,,3.5,2,,,,,,,,3.29,,,,,,,,,,,,,,,,,,,
9/16/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
9/17/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
9/18/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
9/19/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
9/20/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
9/21/1946,,,,,,,,,,3.5,2,,,,,,,,3.29,,,,,,,,,,,,,,,,,,,
9/22/1946,,,,,,,,,,3.5,2,,,,,,,,3.29,,,,,,,,,,,,,,,,,,,
9/23/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
9/24/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
9/25/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
9/26/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
9/27/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
9/28/1946,,,,,,,,,,3.5,2,,,,,,,,3.29,,,,,,,,,,,,,,,,,,,
9/29/1946,,,,,,,,,,3.5,2,,,,,,,,3.29,,,,,,,,,,,,,,,,,,,
9/30/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
10/1/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
10/2/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
10/3/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
10/4/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
10/5/1946,,,,,,,,,,3.5,2,,,,,,,,3.29,,,,,,,,,,,,,,,,,,,
10/6/1946,,,,,,,,,,3.5,2,,,,,,,,3.29,,,,,,,,,,,,,,,,,,,
10/7/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
10/8/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
10/9/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
10/10/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
10/11/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.29,,,,,,,,,,,,,,2.5,,,,,
10/12/1946,,,,,,,,,,3.5,2,,,,,,,,3.29,,,,,,,,,,,,,,,,,,,
10/13/1946,,,,,,,,,,3.5,2,,,,,,,,3.29,,,,,,,,,,,,,,,,,,,
10/14/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.65,,,,,,,,,,,,,,2.5,,,,,
10/15/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.65,,,,,,,,,,,,,,2.5,,,,,
10/16/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.65,,,,,,,,,,,,,,2.5,,,,,
10/17/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.65,,,,,,,,,,,,,,2.5,,,,,
10/18/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.65,,,,,,,,,,,,,,2.5,,,,,
10/19/1946,,,,,,,,,,3.5,2,,,,,,,,3.65,,,,,,,,,,,,,,,,,,,
10/20/1946,,,,,,,,,,3.5,2,,,,,,,,3.65,,,,,,,,,,,,,,,,,,,
10/21/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.65,,,,,,,,,,,,,,2.5,,,,,
10/22/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.65,,,,,,,,,,,,,,2.5,,,,,
10/23/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.65,,,,,,,,,,,,,,2.5,,,,,
10/24/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.65,,,,,,,,,,,,,,2.5,,,,,
10/25/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.65,,,,,,,,,,,,,,2.5,,,,,
10/26/1946,,,,,,,,,,3.5,2,,,,,,,,3.65,,,,,,,,,,,,,,,,,,,
10/27/1946,,,,,,,,,,3.5,2,,,,,,,,3.65,,,,,,,,,,,,,,,,,,,
10/28/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.65,,,,,,,,,,,,,,2.5,,,,,
10/29/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.65,,,,,,,,,,,,,,2.5,,,,,
10/30/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.65,,,,,,,,,,,,,,2.5,,,,,
10/31/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.65,,,,,,,,,,,,,,2.5,,,,,
11/1/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.65,,,,,,,,,,,,,,2.5,,,,,
11/2/1946,,,,,,,,,,3.5,2,,,,,,,,3.65,,,,,,,,,,,,,,,,,,,
11/3/1946,,,,,,,,,,3.5,2,,,,,,,,3.65,,,,,,,,,,,,,,,,,,,
11/4/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.65,,,,,,,,,,,,,,2.5,,,,,
11/5/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.65,,,,,,,,,,,,,,2.5,,,,,
11/6/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.65,,,,,,,,,,,,,,2.5,,,,,
11/7/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.65,,,,,,,,,,,,,,2.5,,,,,
11/8/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.65,,,,,,,,,,,,,,2.5,,,,,
11/9/1946,,,,,,,,,,3.5,2,,,,,,,,3.65,,,,,,,,,,,,,,,,,,,
11/10/1946,,,,,,,,,,3.5,2,,,,,,,,3.65,,,,,,,,,,,,,,,,,,,
11/11/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.65,,,,,,,,,,,,,,2.5,,,,,
11/12/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.65,,,,,,,,,,,,,,2.5,,,,,
11/13/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.65,,,,,,,,,,,,,,2.5,,,,,
11/14/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.65,,,,,,,,,,,,,,2.5,,,,,
11/15/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.65,,,,,,,,,,,,,,2.5,,,,,
11/16/1946,,,,,,,,,,3.5,2,,,,,,,,3.65,,,,,,,,,,,,,,,,,,,
11/17/1946,,,,,,,,,,3.5,2,,,,,,,,3.65,,,,,,,,,,,,,,,,,,,
11/18/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.65,,,,,,,,,,,,,,2.5,,,,,
11/19/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.65,,,,,,,,,,,,,,2.5,,,,,
11/20/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.65,,,,,,,,,,,,,,2.5,,,,,
11/21/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.65,,,,,,,,,,,,,,2.5,,,,,
11/22/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.65,,,,,,,,,,,,,,2.5,,,,,
11/23/1946,,,,,,,,,,3.5,2,,,,,,,,3.65,,,,,,,,,,,,,,,,,,,
11/24/1946,,,,,,,,,,3.5,2,,,,,,,,3.65,,,,,,,,,,,,,,,,,,,
11/25/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.65,,,,,,,,,,,,,,2.5,,,,,
11/26/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.65,,,,,,,,,,,,,,2.5,,,,,
11/27/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.65,,,,,,,,,,,,,,2.5,,,,,
11/28/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.65,,,,,,,,,,,,,,2.5,,,,,
11/29/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.65,,,,,,,,,,,,,,2.5,,,,,
11/30/1946,,,,,,,,,,3.5,2,,,,,,,,3.65,,,,,,,,,,,,,,,,,,,
12/1/1946,,,,,,,,,,3.5,2,,,,,,,,3.65,,,,,,,,,,,,,,,,,,,
12/2/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.65,,,,,,,,,,,,,,2.5,,,,,
12/3/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.65,,,,,,,,,,,,,,2.5,,,,,
12/4/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.65,,,,,,,,,,,,,,2.5,,,,,
12/5/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.65,,,,,,,,,,,,,,2.5,,,,,
12/6/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.65,,,,,,,,,,,,,,2.5,,,,,
12/7/1946,,,,,,,,,,3.5,2,,,,,,,,3.65,,,,,,,,,,,,,,,,,,,
12/8/1946,,,,,,,,,,3.5,2,,,,,,,,3.65,,,,,,,,,,,,,,,,,,,
12/9/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.65,,,,,,,,,,,,,,2.5,,,,,
12/10/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.65,,,,,,,,,,,,,,2.5,,,,,
12/11/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.65,,,,,,,,,,,,,,2.5,,,,,
12/12/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.65,,,,,,,,,,,,,,2.5,,,,,
12/13/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.65,,,,,,,,,,,,,,2.5,,,,,
12/14/1946,,,,,,,,,,3.5,2,,,,,,,,3.65,,,,,,,,,,,,,,,,,,,
12/15/1946,,,,,,,,,,3.5,2,,,,,,,,3.65,,,,,,,,,,,,,,,,,,,
12/16/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.65,,,,,,,,,,,,,,2.5,,,,,
12/17/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.65,,,,,,,,,,,,,,2.5,,,,,
12/18/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.65,,,,,,,,,,,,,,2.5,,,,,
12/19/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.65,,,,,,,,,,,,,,2.5,,,,,
12/20/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.65,,,,,,,,,,,,,,2.5,,,,,
12/21/1946,,,,,,,,,,3.5,2,,,,,,,,3.65,,,,,,,,,,,,,,,,,,,
12/22/1946,,,,,,,,,,3.5,2,,,,,,,,3.65,,,,,,,,,,,,,,,,,,,
12/23/1946,,,,,1.5,,,,,3.5,2,,,,,,3,,3.65,,,,,,,,,,,,,,2.5,,,,,
